Ruund	French
Pilat wayileja anch: “Mutambulany ayinen, uyany nend ukamurumburishany mudi mudia Yijil yen.” Awiy amwakula anch: “Etu kitukwetap ulabu wa kumujip muntu.”	Pilate leur dit: «Prenez-le vous-mêmes et jugez-le selon votre loi.» «Nous n'avons pas le droit de condamner quelqu'un à mort», répondirent-ils.
Yom yiney yamekana mulong wa kuwanyish mazu malonday Yesu palejanay mutapu ukufay.	C'est ainsi que devait se réaliser la parole que Jésus avait dite pour indiquer de quelle mort il allait mourir.
Pilat wachirika kand mu chikumbu chend, wamutazuk Yesu, wamwipul anch: “Ov, ey udi mwant wa in Yuda?”	Pilate rentra alors dans le palais; il fit venir Jésus et lui demanda: «Es-tu le roi des Juifs?»
Yesu wamwakula anch: “Ov, yey amwiney wipwila chipul chinech, anch kudi antu akwau akulejanga mulong wamam?”	Jésus répondit: «Dis-tu cela parce que tu y as pensé toi-même ou parce que d'autres te l'ont dit de moi?»
Pilat wamwakula anch: “Ov, ey utongil anch, am nidi mwin Yuda? In muchid wey amwiney, pamwing nau in kupesh ajim, awiy akupanyina ey kudi am. Ov yom ik yiwasadila?”	Pilate répondit: «Suis-je un Juif, moi? Ceux de ta nation et les chefs des prêtres t'ont livré à moi; qu'as-tu donc fait?»
Yesu wamuleja anch: “Want wamam kiudiap wa mangand minam. Anch Want wam wading wa mangand minam, ing, in kwilejam elang kurish chakwel kangal ampana mu makas mau amakurump a in Yuda. Bwat, Want wam kiudiap wa mangand minam!”	Jésus répondit: «Mon royaume n'appartient pas à ce monde; si mon royaume appartenait à ce monde, mes serviteurs auraient combattu pour empêcher qu'on me livre aux autorités juives. Mais non, mon royaume n'est pas d'ici-bas.»
Chad Pilat wamwipula anch: “Ov, komb ey udi mwant?” Yesu wamwakula anch: “Yey ulondila anch, am_ nidi mwant. Chom chimwing kusu chinezila kuvadik pa mangand minam, chading mulong wa kulejan uyakin. Muntu mwawonsu mwin yakin ukat kutesh yom yinilondila.”	Pilate lui dit alors: «Tu es donc roi?» Jésus répondit: «Tu le dis: je suis roi. Je suis né et je suis venu dans le monde pour rendre témoignage à la vérité. Quiconque appartient à la vérité écoute ce que je dis.»
Pilat wamwipula anch: “Ov, uyakin chom ik?”	«Qu'est-ce que la vérité?» lui demanda Pilate.
Akat kumufish nich Yesu kwa kumujip	Jésus est condamné à mort
Chapwishay Pilat kulond mazu minam, wabudika kand, waya kudi antu, wayilej anch: “Am kinimenap kwam mulong wa kumufish nich muntu mwinou.	Après ces mots, Pilate alla de nouveau trouver les Juifs au dehors. Il leur déclara: «Je ne trouve aucune raison de condamner cet homme.
Mudi mudia chaku chen, am nikat kukulikishinanyaku muntu wa rukan umwing pa chisu cha musambu wa Kusut kwa Chinawej. Ov, usotilany am nikulikishinanyay mwant wa in Yuda?”	Mais selon la coutume que vous avez, je vous libère toujours un prisonnier à la fête de la Pâque. Voulez-vous que je vous libère le roi des Juifs?»
Awiy abaroka nich mazu piur anch: "Ndiy, bwat! Tusotil umulikishaku Barabas!" Barabas winou wading mpongarik.	Ils lui répondirent en criant: «Non, pas lui! C'est Barabbas que nous voulons!» Or, ce Barabbas était un brigand.
Chad Pilat wamupana Yesu chakwel amubul.	Alors Pilate ordonna d'emmener Jésus et de le frapper à coups de fouet.
Amasalay atunga chibangul cha tumitiy twa miy, amudjik ku mutu. Chad amudjik nkandj mulemp usuzurikina kwa kujal.	Les soldats tressèrent une couronne avec des branches épineuses et la posèrent sur la tête de Jésus; ils le revêtirent aussi d'un manteau rouge.
Awiy asejaku, amwela anch: "Kalombo, mwant wa in Yuda!" Chad amubul masu.	Ils s'approchaient de lui et lui disaient: «Salut, roi des Juifs!» Et ils lui donnaient des gifles.
Pilat wabudika kand pol, wayilej eG had : j antu anch: “Teshany, nisotil kumubudish Yesu pol, nimulet kudi en chakwel Mien am kinimenap kwam chom cha kumufish nich ndiy.”	Pilate sortit une nouvelle fois et dit à la foule: «Eh bien, je vais vous l'amener ici, dehors, afin que vous compreniez que je ne trouve aucune raison de condamner cet homme.»
Chad amubudisha Yesu. Ading amudjikin chibangul cha miy ni nkandj mulemp usuzurikin kwa kujal. Pilat wayileja anch: Talany, muntu mwin ou kamu ou!”	Jésus sortit donc; il portait la couronne d'épines et le manteau rouge. Et Pilate leur dit: «Voilà l'homme!»
In mined we ni atulam a Chikumbu cha Nzamb pamumanau Yesu, abaroka anch: “Mu ! i mutond uchikakena!” Abit lepine Pilat wayela anch: “Anch mwamu, mutambulany ayinen, umupampany. Am kinimenap kwam mulong wa kumufish nich.”	Mais lorsque les chefs des prêtres et les gardes le virent, ils crièrent: «Cloue-le sur une croix! Cloue-le sur une croix!» Pilate leur dit: «Allez le clouer vous-mêmes sur une croix, car je ne trouve personnellement aucune raison de le condamner.»
In Yuda niyau amwakula anch: “Etu tukwet chijil chilondil anch, chifanyidin ndiy kufa, mulong wading ni kufa mu kan anch, udi Mwan a Nzamb.”	Les Juifs lui répondirent: «Nous avons une loi, et selon cette loi il doit mourir, car il a prétendu être le Fils de Dieu.»
Chateshay Pilat mazu minam, wova wom nakash.	Quand Pilate entendit ces mots, il eut encore plus peur.
Ndiy wandama kand mu chikumbu, wamwipul Yesu anch: "Ov, ey udiokil kwisu?" Pakwez Yesu kamwakulap dizu.	Il rentra dans le palais et demanda à Jésus: «D'où es-tu?» Mais Jésus ne lui donna pas de réponse.
Pilat wamwela anch: "Ov, kiusotilap kwey kwingakul? Ov, kiwijap kwey anch am nikwet ulabu wa kukulikishaku, ap wa kukupampil ku mutond uchikakena?"	Pilate lui dit alors: «Tu ne veux pas me répondre? Ne sais-tu pas que j'ai le pouvoir de te relâcher et aussi celui de te faire clouer sur une croix?»
Yesu wamwakula anch: “Ey kiukwetap ulabu wa kwinsal am chom, ulabu wey ching anch akwinkishau kudi Nzamb. Chawiy muntu wampananga kudi ey ukwet chitil chipandakena kuyip.”	Jésus lui répondit: «Tu n'as aucun pouvoir sur moi à part celui que Dieu t'a accordé. C'est pourquoi, l'homme qui m'a livré à toi est plus coupable que toi.»
Chateshay Pilat mazu minam, wakimba mutapu wa kumulikishaku Yesu. Pakwez chisak cha antu abaroka anch: “Anch ey wamulikishaku, charumburik anch, ey kiudiap murund wa Sezar, mwant wa in Rom! Muntu mwawonsu ukata kufa mu kan anch: ‘Am nidi mwant,’ muntu mwinou udi mwin kumubwambwil Sezar!”	Dès ce moment, Pilate cherchait un moyen de relâcher Jésus. Mais les Juifs se mirent à crier: «Si tu relâches cet homme, tu n'es pas un ami de l'empereur! Quiconque se prétend roi est un ennemi de l'empereur!»
Chateshay Pilat mazu minam, amubudisha Yesu pol, chad ndiy washakam mu ditand dia kurumburishin dia ndond yatungau mayal, yipidilan mu Hebereu anch: “Gabata.”	Quand Pilate entendit ces mots, il fit amener Jésus dehors; il s'assit sur le siège du juge à l'endroit appelé «Place pavée» qu'on nomme «Gabbatha» en hébreu.
K wading kwashalang kal dichuku dimwing ni kusambish musambu wa Kusut kwa Chinawej. Muten wading usotil kushik piswimp ni pakach. Pilat wayela antu anch: “Mwant wen, ou kamu ou!”	C'était le jour qui précédait la fête de la Pâque, vers midi. Pilate dit aux Juifs: «Voilà votre roi!»
Awiy asambisha kubarok anch: “Mujipa! Mujipa! Mupampila ku mutond uchikakena!” Pilat wayipula anch: “Ov, en usotilany am nimupampila mwant wen ku mutond uchikakena?” In kupesh ajim amwakula anch: “Etu kitukwetap mwant mukwau, ching kusu Mwant Sezar wa in Rom!”	Mais ils se mirent à crier: «A mort! A mort! Cloue-le sur une croix!» Pilate leur dit: «Faut-il que je cloue votre roi sur une croix?» Les chefs des prêtres répondirent: «Nous n'avons pas d'autre roi que l'empereur.»
Chad Pilat wayinkishay Yesu, awiy amutwala mulong wa kumupamp.	Alors Pilate leur livra Jésus, pour qu'on le cloue sur une croix.
Akat kumupamp Yesu ku mutond uchikakena	Jésus est cloué sur une croix
Chad amusenda Yesu.	Ils emmenèrent donc Jésus.
Yesu wabudika mu musumb, wading usendil mutond uchikakena amwinend djat ni kwi ndond ya Kawokal, yipidilau mu Hebereu anch: “Goligota.”	Celui-ci dut porter lui-même sa croix pour sortir de la ville et aller à un endroit appelé «le lieu du Crâne» qu'on nomme «Golgotha» en hébreu.
Kwinikwa kwawiy kwamupampilau. Apampilaku kand antu akwau aad ku mitond yichikakena, ou mutambu, ou mutambu, Yesu pakach.	C'est là que les soldats clouèrent Jésus sur la croix. En même temps, ils mirent deux autres hommes en croix, de chaque côté de Jésus, qui se trouvait ainsi au milieu.
Pilat walejana kufund piur pa mutond uchikakena anch: “Yesu wa ku Nazaret, Mwant wa in Yuda.”	Pilate ordonna aussi de faire un écriteau et de le mettre sur la croix; il portait cette inscription: «Jésus de Nazareth, le roi des Juifs.»
In Yuda avud atanga mazu minam, mulong ndond yamupampilau Yesu kiyadingap kulemp ni musumb. Mazu minam amafunda mu jindim jisatu, mu Hebereu, ni mu Latin, ni mu Grek.	Beaucoup de Juifs lurent cet écriteau, car l'endroit où l'on avait mis Jésus en croix était près de la ville et l'inscription était en hébreu, en latin et en grec.
In kupesh ajim amuleja Pilat anch: “Kangal kufund anch: ‘Mwant wa in Yuda,’ pakwez fund anch: ‘Muntu mwinou walondanga anch: Am yam Mwant wa in Yuda.’ ”	Alors les chefs des prêtres juifs dirent à Pilate: «Tu ne dois pas laisser cette inscription “le roi des Juifs” mais tu dois mettre: “Cet homme a dit: Je suis le roi des Juifs.”»
Pilat wayakula anch: “Mwin munafundanga kal omu mwawiy kamu.”	Pilate répondit: «Ce que j'ai écrit reste écrit.»
Chapwishau amasalay kumupampil Yesu ku mutond uchikakena, awiy anona yidjal yend yinying, ayanganijan. Isalay ni isalay wasenda chidjal chimwing. Awiy anona kand nkandj wend mulemp wa diswin dimwing diakad muchimin.	Quand les soldats eurent mis Jésus en croix, ils prirent ses vêtements et les divisèrent en quatre parts, une pour chaque soldat. Ils prirent aussi sa tunique, qui était sans couture, tissée en une seule pièce du haut en bas.
Amasalay ovijana anch: “Kangal twapwolany nkandj winou, pakwez tutany ubal chakwel twijikany muntu ukumutambula.” Chom chinech chamekana mulong wa kuwanyish mazu mafundilau anch: “Awiy anganijana yidjal yam, ata ubal mulong wa kutambul nkandj wam mulemp.” Mwamu mwasalau amasalay.	Les soldats se dirent les uns aux autres: «Ne déchirons pas cette tunique, mais tirons au sort pour savoir à qui elle appartiendra.» C'est ainsi que devait se réaliser le passage de l'Écriture qui déclare: «Ils se sont partagé mes habits et ils ont tiré au sort mon vêtement.» Voilà ce que firent les soldats.
Piswimp ni mutond uchikakena wamupampilau Yesu, kwading kwiminy makwend, ni nambaz wa makwend, ni Mariy, mband wa Klopas, ni Mariy wa ku ul wa Magadala.	Près de la croix de Jésus se tenaient sa mère, la sœur de sa mère, Marie la femme de Clopas et Marie du village de Magdala.
Yesu wamumana makwend ni mwin kwilej wading ukatilay iminy kwinikwa. Chad Yesu wamuleja makwend anch: “Mwin kwilej ou, katat udi mudi mwaney.”	Jésus vit sa mère et, auprès d'elle, le disciple qu'il aimait. Il dit à sa mère: «Voici ton fils, mère.»
Chad wamuleja kand mwin kwilej anch: “Mband ou, katat udi mudi makwey.” Kudiokal pa chisu chinicha, mwin kwilej winou wamusenda makwend a Yesu kushakam nend kwol kwend.	Puis il dit au disciple: «Voici ta mère.» Et dès ce moment, le disciple la prit chez lui.
Rufu ra Yesu	La mort de Jésus
Yesu wadi wij anch: “Katat yom yawonsu yawanyin kal.” Ndiy walonda anch: “Nov kal impu.” Walonda mwamu mulong wa kuwanyish mazu mafundilau mu Mukand wa Nzamb.	Après cela, comme Jésus savait que, maintenant, tout était achevé, il dit pour accomplir le texte de l'Écriture: «J'ai soif.»
Kwinikwa kwading nsab ya maar ma nviny masasina. Awiy auuchika mwimpalambay mu maar minima, chad aukasin ku mutond upidilau anch, hisop. Auzambula, amutekau Yesu ku kan.	Il y avait là un vase plein de vinaigre. Les soldats trempèrent donc une éponge dans le vinaigre, la fixèrent à une branche d'hysope et l'approchèrent de la bouche de Jésus.
Chanay Yesu maar minam, ndiy walonda anch: “Katat yom yawonsu yawanyin kal!” Chad ndiy wazendjika mutu, wafa.	Jésus prit le vinaigre, puis il dit: «Tout est achevé!» Alors, il baissa la tête et mourut.
Akat kumupamp Yesu murumbu	Un soldat perce le côté de Jésus
Diading dichuku dia katan, diawiy kamu dichuku dia kwirijek mulong wa Dichuku dia Kwiswedish. Dichuku dined dia Kwiswedish diading dichuku dijim ditumbila. Chawiy amakurump au in Yuda kasotap mijimbu ya antu apampau yishakam ku mitond pa Dichuku dia Kwiswedish. Chad awiy amwita Pilat usu wa kubukwon mend mau antu apampau, chakwel adiosha mijimbu yau ku mitond.	C'était vendredi et les chefs juifs ne voulaient pas que les corps restent sur les croix durant le sabbat, d'autant plus que ce sabbat-là était spécialement important; ils demandèrent donc à Pilate de faire briser les jambes des crucifiés et de faire enlever les corps.
Chad amasalay aya, abukwon mend ma muntu wa kusambish ni ma muntu wa ww bs kaad, awiy kamu antu apampau pamwing nend Yesu.	Alors les soldats vinrent briser les jambes du premier condamné mis en croix en même temps que Jésus, puis du second.
Pakwez amasalay, pashikau kudi Yesu, amutan wafang kal, kamubukwonap mend.	Quand ils arrivèrent à Jésus, ils virent qu'il était déjà mort; c'est pourquoi ils ne lui brisèrent pas les jambes.
Pakwez isalay umwing wamupampa Yesu murumbu mwi mbavu, pawiy kamu pinipa mash ni mem ejana uman wend, mabudika.	Mais un des soldats lui perça le côté avec sa lance, et du sang et de l'eau en sortirent aussitôt.
Muntu wamana yom yiney wal uman wend udi wakin. Ndiy wij nawamp anch, ulondil yom yakin chakwel niyen ukwitiyijany kand.	L'homme qui témoigne de ces faits les a vus, et son témoignage est vrai; il sait, lui, qu'il dit la vérité. Il en témoigne afin que vous aussi vous croyiez.
Yom yiney yamekana mulong wa kuwanyish mazu mafundilau mu Mukand wa Nzamb_ anch: “Kwikil difup dikez kubukunau.”	En effet, cela est arrivé pour que ce passage de l'Écriture se réalise: «On ne lui brisera aucun os.»
Mazu makwau ma Mukand wa Nzamb malondil anch: “Antu akez kumutal ndiy wapampau murumbu.”	Et un autre texte dit encore: «Ils regarderont à celui qu'ils ont transpercé.»
Akat kumujik Yesu	Jésus est mis dans un tombeau
Chiyasuta yom yiney, Josef, wa ku ul wa Arimatey, wamwita Pilat usu wa kusend mujimbu wa Yesu. Josef wading mwin kwilej wa Yesu mu ujindj, mulong wading uyovil chad Josef amakurump au in Yuda wom. Pilat wamwitiya, waya, wadiosh mujimbu wa Yesu.	Après cela, Joseph, qui était d'Arimathée, demanda à Pilate l'autorisation d'emporter le corps de Jésus. Joseph était un disciple de Jésus, mais en secret parce qu'il avait peur des autorités juives. Et Pilate le lui permit. Joseph alla donc emporter le corps de Jésus.
Nikodem, ndiy kamu muntu waya ni kumanijan nend Yesu uchuku, waya nend J osef. Ndiy wasenda diseng dia rupwembu, ni many ya kupan ku mujimbu wa Yesu. Yawonsu yading ya akilo makum masatu.	Nicodème, cet homme qui était allé trouver une fois Jésus pendant la nuit, vint aussi et apporta environ trente kilos d'un mélange de myrrhe et d'aloès.
Antu inay aad asenda mujimbu wa Yesu, auvung mu diswin dia ndand muwamp, pamwing ni yom ya kupan mujimbu mudi mwading chaku cha in Yuda cha kurijek mujimbu pa kuujik.	Tous deux prirent le corps de Jésus et l'enveloppèrent de bandes de lin, en y mettant les huiles parfumées, comme les Juifs ont coutume de le faire quand ils enterrent leurs morts.
Kwi ndond kwamupampilau Yesu kwading chir. Mu chir chinech mwading nzay yisu kand kal ajikamup muntu.	A l'endroit où l'on avait mis Jésus en croix, il y avait un jardin, et dans ce jardin il y avait un tombeau neuf dans lequel on n'avait jamais déposé personne.
Awly amujika Yesu kwinikwa, mulong kwading kwashalang kal dichuku dimwing kusu ni kushik ku Dichuku dia Kwiswedish, ni chikwau kand, nzay yading piswimp.	Comme c'était la veille du sabbat des Juifs et que le tombeau était tout proche, ils y déposèrent Jésus.
Kuvumbuk kwa Yesu	Le tombeau vide
Dichuku dia kusambish dia rubing fa in Yuda pamanch pafe pikwading kuchijadil, Mariy wa ku ul wa Magadala waya kwi nzay. Watana diyal adidioshang kal ku chis cha nzay.	Tôt le dimanche matin, alors qu'il faisait encore nuit, Marie de Magdala se rendit au tombeau. Elle vit que la pierre avait été ôtée de l'entrée du tombeau.
Ndiy waya mau, wamutan Simon Pita, ni mwin kwilej wading ukatilay Yesu, wayilej anch: “ Amudioshang kal Nsalejetu mwi nzay, kitwijap kwisu kwamutekangau kal!”	Elle courut alors trouver Simon Pierre et l'autre disciple, celui qu'aimait Jésus, et leur dit: «On a enlevé le Seigneur de son tombeau, et nous ne savons pas où on l'a mis.»
